交易时间,公众账号ID,商户号,子商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2017-03-11 11:49:19,`wx7758a16e0ab66e37,`1341886001,`1343365501,`,`4003422001201703112984840777,`17031026060127,`olHyOwu-sij8bWUgsJv-v00ox0gI,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`刘海杰,`NEW996170310784395,`0.00000,`0.60%
`2017-03-11 11:49:36,`wx7758a16e0ab66e37,`1341886001,`1343365501,`,`4003422001201703112984840777,`17031026060127,`olHyOwu-sij8bWUgsJv-v00ox0gI,`NATIVE,`REFUND,`CFT,`CNY,`0.00,`0.00,`2003422001201703110909766382,`17031026060129,`0.01,`0.00,`ORIGINAL,`SUCCESS,`刘海杰,`NEW996170310784395,`0.00000,`0.60%
`2017-03-11 11:48:56,`wx7758a16e0ab66e37,`1341886001,`1343365501,`,`4003422001201703112984873203,`17031026060124,`olHyOwu-sij8bWUgsJv-v00ox0gI,`NATIVE,`REFUND,`CFT,`CNY,`0.00,`0.00,`2003422001201703110909983786,`17031026060126,`0.01,`0.00,`ORIGINAL,`SUCCESS,`刘海杰,`NEW996170310784395,`0.00000,`0.60%
`2017-03-11 11:48:33,`wx7758a16e0ab66e37,`1341886001,`1343365501,`,`4003422001201703112984873203,`17031026060124,`olHyOwu-sij8bWUgsJv-v00ox0gI,`NATIVE,`SUCCESS,`CFT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`刘海杰,`NEW996170310784395,`0.00000,`0.60%
`2017-03-11 12:20:07,`wx7758a16e0ab66e37,`1341886001,`1343365501,`,`4009252001201703112989078343,`17031026060139,`olHyOwmUnae-QgDspoXVNWH_Gf_M,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`43464,`NEW996170306007180,`0.00000,`0.60%
总交易单数,总交易额,总退款金额,总企业红包退款金额,手续费总金额
`5,`0.03,`0.02,`0.00,`0.00000
